RS,BA,OBP,SLG,Year,Team,League
711,0.237,0.322,0.407,2021,NYY,AL
743,0.238,0.317,0.406,2021,OAK,AL
734,0.24,0.318,0.408,2021,PHI,NL
609,0.236,0.309,0.364,2021,PIT,NL
729,0.242,0.321,0.401,2021,SDP,NL
697,0.226,0.303,0.385,2021,SEA,AL
804,0.249,0.329,0.44,2021,SFG,NL
706,0.244,0.313,0.412,2021,STL,NL
857,0.243,0.321,0.429,2021,TBR,AL
625,0.232,0.294,0.375,2021,TEX,AL
846,0.266,0.33,0.466,2021,TOR,AL
724,0.258,0.337,0.417,2021,WSN,NL
702,0.23,0.304,0.385,2022,ARI,NL
789,0.253,0.317,0.443,2022,ATL,NL
674,0.236,0.305,0.39,2022,BAL,AL
735,0.258,0.321,0.409,2022,BOS,AL
657,0.238,0.311,0.387,2022,CHC,NL
686,0.256,0.31,0.387,2022,CHW,AL
648,0.235,0.304,0.372,2022,CIN,NL
698,0.254,0.316,0.383,2022,CLE,AL
698,0.254,0.315,0.398,2022,COL,NL
557,0.231,0.286,0.346,2022,DET,AL
737,0.248,0.319,0.424,2022,HOU,AL
640,0.244,0.306,0.38,2022,KCR,AL
623,0.233,0.297,0.39,2022,LAA,AL
847,0.257,0.333,0.442,2022,LAD,NL
586,0.23,0.294,0.363,2022,MIA,NL
725,0.235,0.315,0.409,2022,MIL,NL
696,0.248,0.317,0.401,2022,MIN,AL
772,0.259,0.332,0.412,2022,NYM,NL
807,0.241,0.325,0.426,2022,NYY,AL
568,0.216,0.281,0.346,2022,OAK,AL
747,0.253,0.317,0.422,2022,PHI,NL
591,0.222,0.291,0.364,2022,PIT,NL
705,0.241,0.318,0.382,2022,SDP,NL
690,0.23,0.315,0.39,2022,SEA,AL
716,0.234,0.315,0.39,2022,SFG,NL
772,0.252,0.325,0.42,2022,STL,NL
666,0.239,0.309,0.377,2022,TBR,AL
707,0.239,0.301,0.395,2022,TEX,AL
775,0.264,0.329,0.431,2022,TOR,AL
603,0.249,0.31,0.377,2022,WSN,NL
746,0.25,0.322,0.408,2023,ARI,NL
947,0.276,0.344,0.501,2023,ATL,NL
807,0.255,0.321,0.421,2023,BAL,AL
772,0.258,0.324,0.424,2023,BOS,AL
819,0.254,0.33,0.421,2023,CHC,NL
641,0.238,0.291,0.384,2023,CHW,AL
783,0.249,0.327,0.42,2023,CIN,NL
662,0.25,0.313,0.381,2023,CLE,AL
721,0.249,0.31,0.405,2023,COL,NL
661,0.236,0.305,0.382,2023,DET,AL
827,0.259,0.331,0.437,2023,HOU,AL
676,0.244,0.303,0.398,2023,KCR,AL
739,0.245,0.317,0.426,2023,LAA,AL
906,0.257,0.34,0.455,2023,LAD,NL
666,0.259,0.316,0.405,2023,MIA,NL
728,0.24,0.319,0.385,2023,MIL,NL
778,0.243,0.326,0.428,2023,MIN,AL
717,0.238,0.316,0.407,2023,NYM,NL
673,0.227,0.304,0.397,2023,NYY,AL
585,0.223,0.298,0.37,2023,OAK,AL
796,0.256,0.327,0.438,2023,PHI,NL
692,0.239,0.315,0.392,2023,PIT,NL
752,0.244,0.329,0.413,2023,SDP,NL
758,0.242,0.321,0.413,2023,SEA,AL
674,0.235,0.312,0.383,2023,SFG,NL
719,0.25,0.326,0.416,2023,STL,NL
860,0.26,0.331,0.445,2023,TBR,AL
881,0.263,0.337,0.452,2023,TEX,AL
746,0.256,0.329,0.417,2023,TOR,AL
700,0.254,0.314,0.396,2023,WSN,NL
886,0.263,0.337,0.44,2024,ARI,NL
704,0.243,0.309,0.415,2024,ATL,NL
786,0.25,0.315,0.435,2024,BAL,AL
751,0.252,0.319,0.423,2024,BOS,AL
736,0.242,0.317,0.393,2024,CHC,NL
507,0.221,0.278,0.34,2024,CHW,AL
699,0.231,0.305,0.388,2024,CIN,NL
708,0.238,0.307,0.395,2024,CLE,AL
682,0.242,0.304,0.4,2024,COL,NL
682,0.234,0.3,0.385,2024,DET,AL
740,0.262,0.322,0.418,2024,HOU,AL
735,0.248,0.306,0.403,2024,KCR,AL
635,0.229,0.301,0.369,2024,LAA,AL
842,0.258,0.335,0.446,2024,LAD,NL
637,0.244,0.3,0.378,2024,MIA,NL
777,0.248,0.326,0.403,2024,MIL,NL
742,0.246,0.315,0.411,2024,MIN,AL
768,0.246,0.319,0.415,2024,NYM,NL
815,0.248,0.333,0.429,2024,NYY,AL
643,0.233,0.301,0.393,2024,OAK,AL
784,0.257,0.325,0.425,2024,PHI,NL
665,0.234,0.301,0.371,2024,PIT,NL
760,0.263,0.324,0.42,2024,SDP,NL
676,0.224,0.311,0.376,2024,SEA,AL
693,0.239,0.305,0.396,2024,SFG,NL
672,0.248,0.312,0.392,2024,STL,NL
604,0.23,0.302,0.366,2024,TBR,AL
683,0.238,0.305,0.38,2024,TEX,AL
671,0.241,0.313,0.389,2024,TOR,AL
660,0.243,0.309,0.375,2024,WSN,NL
791,0.251,0.325,0.433,2025,ARI,NL
733,0.253,0.318,0.431,2025,OAK,AL
724,0.245,0.32,0.399,2025,ATL,NL
677,0.235,0.305,0.394,2025,BAL,AL
786,0.254,0.324,0.421,2025,BOS,AL
793,0.249,0.32,0.43,2025,CHC,NL
647,0.232,0.302,0.373,2025,CHW,AL
716,0.245,0.315,0.391,2025,CIN,NL
643,0.226,0.296,0.373,2025,CLE,AL
597,0.237,0.293,0.386,2025,COL,NL
758,0.247,0.316,0.413,2025,DET,AL
686,0.25,0.315,0.399,2025,HOU,AL
651,0.247,0.309,0.397,2025,KCR,AL
673,0.225,0.298,0.397,2025,LAA,AL
825,0.253,0.327,0.441,2025,LAD,NL
709,0.25,0.314,0.393,2025,MIA,NL
806,0.258,0.332,0.403,2025,MIL,NL
678,0.238,0.31,0.397,2025,MIN,AL
766,0.249,0.326,0.427,2025,NYM,NL
849,0.251,0.332,0.455,2025,NYY,AL
778,0.258,0.328,0.431,2025,PHI,NL
583,0.231,0.305,0.35,2025,PIT,NL
702,0.252,0.321,0.39,2025,SDP,NL
766,0.244,0.32,0.42,2025,SEA,AL
705,0.235,0.311,0.386,2025,SFG,NL
689,0.245,0.314,0.379,2025,STL,NL
714,0.251,0.313,0.401,2025,TBR,AL
684,0.234,0.302,0.381,2025,TEX,AL
798,0.265,0.333,0.427,2025,TOR,AL
687,0.242,0.304,0.389,2025,WSN,NL
