RS,BA,OBP,SLG,Year,Team,League,RA,OOBP,OSLG,W,G
810,0.248,0.319,0.431,2019,TEX,AL,878,0.342,0.464,78,162
726,0.236,0.305,0.428,2019,TOR,AL,828,0.337,0.451,67,162
873,0.265,0.342,0.454,2019,WSN,NL,724,0.314,0.412,93,162
682,0.238,0.308,0.41,2019,SDP,NL,789,0.315,0.43,70,162
758,0.237,0.316,0.424,2019,SEA,AL,893,0.326,0.469,68,162
813,0.252,0.323,0.434,2019,ARI,NL,743,0.32,0.432,85,162
855,0.258,0.336,0.452,2019,ATL,NL,743,0.329,0.419,97,162
729,0.246,0.31,0.415,2019,BAL,AL,981,0.342,0.497,54,162
901,0.269,0.34,0.466,2019,BOS,AL,828,0.33,0.431,84,162
814,0.252,0.331,0.452,2019,CHC,NL,717,0.323,0.414,84,162
708,0.261,0.314,0.414,2019,CHW,AL,832,0.337,0.452,72,161
701,0.244,0.315,0.422,2019,CIN,NL,711,0.31,0.41,75,162
769,0.25,0.323,0.432,2019,CLE,AL,657,0.304,0.419,93,162
835,0.265,0.326,0.456,2019,COL,NL,958,0.348,0.492,71,162
582,0.24,0.294,0.388,2019,DET,AL,915,0.342,0.478,47,161
920,0.274,0.352,0.495,2019,HOU,AL,640,0.283,0.397,107,162
691,0.247,0.309,0.401,2019,KCR,AL,869,0.348,0.456,59,162
769,0.247,0.324,0.422,2019,LAA,AL,868,0.331,0.459,72,162
886,0.257,0.338,0.472,2019,LAD,NL,613,0.282,0.379,106,162
615,0.241,0.298,0.375,2019,MIA,NL,808,0.329,0.435,57,162
769,0.246,0.329,0.438,2019,MIL,NL,766,0.321,0.425,89,162
754,0.252,0.323,0.424,2018,MIL,NL,659,0.309,0.387,96,163
589,0.237,0.303,0.357,2018,MIA,NL,809,0.333,0.424,63,161
804,0.25,0.333,0.442,2018,LAD,NL,610,0.29,0.379,92,163
771,0.254,0.335,0.419,2018,WSN,NL,682,0.311,0.411,82,162
693,0.235,0.31,0.397,2018,ARI,NL,644,0.31,0.388,82,162
759,0.257,0.324,0.417,2018,ATL,NL,657,0.314,0.37,90,162
622,0.239,0.298,0.391,2018,BAL,AL,892,0.349,0.471,47,162
709,0.244,0.312,0.427,2018,TOR,AL,832,0.335,0.446,73,162
737,0.24,0.318,0.404,2018,TEX,AL,848,0.335,0.464,67,162
716,0.258,0.333,0.406,2018,TBR,AL,646,0.3,0.377,90,162
759,0.249,0.321,0.409,2018,STL,NL,691,0.324,0.378,88,162
603,0.239,0.3,0.368,2018,SFG,NL,699,0.318,0.404,73,162
677,0.254,0.314,0.408,2018,SEA,AL,711,0.308,0.418,89,162
617,0.235,0.297,0.38,2018,SDP,NL,767,0.324,0.417,66,162
692,0.254,0.317,0.407,2018,PIT,NL,693,0.319,0.407,82,161
677,0.234,0.314,0.393,2018,PHI,NL,728,0.316,0.407,80,162
813,0.252,0.325,0.439,2018,OAK,AL,674,0.301,0.392,97,162
851,0.249,0.329,0.451,2018,NYY,AL,669,0.304,0.39,100,162
676,0.234,0.312,0.389,2018,NYM,NL,707,0.313,0.398,77,162
738,0.25,0.318,0.405,2018,MIN,AL,775,0.332,0.423,78,162
780,0.256,0.322,0.435,2018,COL,NL,745,0.319,0.417,91,163
630,0.241,0.3,0.38,2018,DET,AL,796,0.323,0.439,64,162
797,0.255,0.329,0.425,2018,HOU,AL,534,0.282,0.358,103,162
876,0.268,0.339,0.453,2018,BOS,AL,647,0.309,0.39,108,162
761,0.258,0.333,0.41,2018,CHC,NL,645,0.323,0.376,95,163
656,0.241,0.302,0.401,2018,CHW,AL,848,0.34,0.422,62,162
696,0.254,0.328,0.401,2018,CIN,NL,819,0.332,0.45,67,162
818,0.259,0.332,0.434,2018,CLE,AL,648,0.3,0.414,91,162
721,0.242,0.313,0.413,2018,LAA,AL,722,0.322,0.415,80,162
